time[s],PML I WT,PML I -/-,PML II WT,PML II -/- mobil,PML II -/- immobil,PML III WT,PML III -/-,PML IV WT,PML IV -/- mobil,PML IV -/- immobil,PML V WT,PML V -/-,PML VI WT,PML VI -/-
-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,0.09323518300000001,0.012241568999999999,0.064443285,0.066914087,0.013651905,0.052867317000000004,0.03628996,0.06061709999999999,0.028484374,0.02149712,0.038428167,0.034985564,0.054602059,0.039515937
20,0.158289809,0.022431134,0.15129589400000001,0.103358496,0.014472323999999998,0.126233328,0.043554732,0.116633105,0.068583867,0.032195924,0.080544513,0.057885259,0.09668892400000001,0.083644348
40,0.212454123,0.033544412,0.230771038,0.134007973,0.02277341,0.19132164100000001,0.045535324,0.17026316800000002,0.094036161,0.035953268,0.088087689,0.079474959,0.128525897,0.114262564
60,0.262378858,0.029489537000000003,0.293021833,0.150271126,0.020391027,0.241516969,0.052615017,0.207136215,0.166881739,0.04535573,0.105347607,0.1010967,0.15976415300000002,0.145617294
80,0.295263327,0.037560367000000004,0.324238001,0.186384543,0.025827615,0.28022245,0.05741368,0.245284373,0.19576296699999998,0.053174900000000004,0.114975701,0.11565806,0.187523615,0.186837647
100,0.316647894,0.046285295,0.358990531,0.205567163,0.0288639,0.303724869,0.058219032000000004,0.283736477,0.260376298,0.053932307,0.144053726,0.132322344,0.207950684,0.198296778
120,0.359053536,0.047522159,0.382050128,0.213983991,0.025262200000000002,0.35243040600000003,0.061077936,0.330228567,0.282839353,0.06352879,0.147395301,0.152094192,0.25432169,0.230191537
140,0.395667695,0.043847091,0.43784011700000003,0.230774817,0.034388426,0.384822574,0.058546281,0.356365627,0.31279635699999997,0.073436776,0.179417186,0.162503279,0.266011687,0.255875377
160,0.407605326,0.055869029,0.443735459,0.24649452800000002,0.037319187999999996,0.41941428700000005,0.06747910900000001,0.39651211700000005,0.34216530799999995,0.069986625,0.179486012,0.185426786,0.293012282,0.280366079
180,0.436884635,0.056761685,0.478781785,0.265689732,0.032731479,0.43826487700000005,0.067326708,0.41110871299999996,0.38764594399999996,0.077215878,0.191299991,0.197205445,0.31237424399999997,0.296027291
200,0.45853135799999994,0.058291005,0.47100217200000005,0.272568349,0.036492185,0.462829783,0.069099257,0.440350949,0.404686393,0.080322827,0.206037931,0.201782785,0.328551561,0.30968766600000003
220,0.480783351,0.061487146,0.5169554670000001,0.26125024399999996,0.03237205,0.494610049,0.06886598599999999,0.466278649,0.45350668200000005,0.086662696,0.212102066,0.214691677,0.362625441,0.334228793
240,0.507065888,0.064527894,0.520292313,0.284983191,0.038504612,0.510717239,0.074499995,0.496717357,0.460718012,0.086499584,0.22984964300000002,0.23398453,0.38291373,0.363479049
260,0.522566667,0.061337922999999996,0.543610558,0.293933059,0.034824551,0.527894125,0.076105429,0.515784208,0.55933095,0.09540972800000001,0.250687797,0.24229597600000002,0.40426749,0.381346391
280,0.543799449,0.057239739000000005,0.55090335,0.30123217399999996,0.029136916000000002,0.552071604,0.076637103,0.520456181,0.563732961,0.104441368,0.22945512399999998,0.263590683,0.41992785899999996,0.382563435
300,0.529355421,0.075990075,0.596039464,0.34482388399999997,0.035856829,0.573111936,0.078969896,0.5659369879999999,0.555933114,0.09810934199999999,0.25427849199999997,0.262963388,0.419603813,0.40845239200000005
320,0.5210089,0.08393095800000001,0.598789681,0.33717753899999997,0.03883695,0.563074056,0.080867094,0.566916285,0.581928094,0.107732615,0.258248818,0.283979815,0.451759226,0.410778717
340,0.558974718,0.06866821,0.599864108,0.32982343399999997,0.038145173,0.5864414720000001,0.082918431,0.58999998,0.621909333,0.111669798,0.271911188,0.297196618,0.466652621,0.457509293
360,0.569224166,0.070338477,0.63357765,0.352107103,0.032631592,0.580662256,0.08393309300000001,0.619120723,0.64203729,0.116927566,0.262200049,0.293105241,0.49121912700000003,0.455064414
380,0.579882921,0.079892739,0.63845279,0.353964404,0.040068857,0.616562155,0.087476289,0.6366347379999999,0.672038902,0.122908655,0.280820075,0.30954119399999996,0.507052512,0.448794266
400,0.574123834,0.080162089,0.615641478,0.373092525,0.038646921,0.625014606,0.08924965300000001,0.6443603520000001,0.602837728,0.135317403,0.286714879,0.316713666,0.503327371,0.47237472
420,0.60208498,0.082735214,0.645781797,0.411717658,0.039456091,0.621183358,0.089386028,0.663823996,0.6627080329999999,0.125528251,0.310903908,0.330297615,0.527726873,0.482647293
440,0.61632952,0.071515913,0.659819788,0.40189109700000003,0.029653912999999997,0.635018995,0.082899147,0.6704583239999999,0.703919159,0.138254871,0.313045043,0.34177203700000003,0.540333767,0.526738197
460,0.611981901,0.08286023599999999,0.620338608,0.39692753299999994,0.036856682,0.655363851,0.089955842,0.697175037,0.724536966,0.133976744,0.331297572,0.34651247399999996,0.564331165,0.53582305
480,0.63084931,0.07740237,0.637322135,0.411691298,0.030125034,0.663300074,0.08904043699999999,0.7220313629999999,0.657886221,0.13847409900000002,0.32994681800000003,0.35231376,0.5750178420000001,0.560782627
500,0.632782457,0.082253122,0.653853856,0.419456093,0.041503116,0.685569682,0.088461168,0.726708254,0.7011033640000001,0.132839268,0.33747514,0.367129724,0.593040242,0.534539625
520,0.644847315,0.089539544,0.670278832,0.404272361,0.045851915,0.6734502529999999,0.096461144,0.743033869,0.72038281,0.139585682,0.328896492,0.37395301299999995,0.6027221739999999,0.556505151
540,0.680782635,0.084893767,0.677584472,0.40442839399999997,0.034542561,0.696258382,0.094684307,0.760123587,0.696999142,0.146540771,0.335227832,0.38673724299999995,0.617481565,0.565027511
560,0.651512464,0.088214895,0.6598761439999999,0.435378145,0.045622248,0.72904753,0.098521896,0.776730329,0.755754838,0.133914967,0.328441853,0.404078005,0.620922961,0.556675103
580,0.692189284,0.074982551,0.649146465,0.418983738,0.04206706599999999,0.703823784,0.09750053800000001,0.79502361,0.73049483,0.153839341,0.351002295,0.39832764299999995,0.6519347360000001,0.594307921
600,0.676493509,0.072743855,0.72926328,0.453631354,0.035432984,0.673604875,0.09489210199999999,0.805414842,0.733464764,0.16425242,0.35966357,0.413123109,0.655225403,0.570353432
620,0.697673283,0.070955803,0.695607545,0.464696645,0.035273118,0.739473707,0.099284783,0.80519435,0.765092868,0.151668641,0.362921189,0.431320916,0.660206879,0.594762469
640,0.686128893,0.07575612799999999,0.7027869640000001,0.46191013799999997,0.037288983,0.728432247,0.099836565,0.793568645,0.757644588,0.145044921,0.38015280100000004,0.43157795200000004,0.66823905,0.583939203
660,0.7023747440000001,0.075555785,0.664515935,0.46714069399999997,0.043485857999999995,0.722641964,0.10321333099999999,0.7807030690000001,0.7439371159999999,0.167428421,0.391313866,0.442775618,0.6793302609999999,0.597870625
680,0.69470231,0.088247964,0.654311412,0.477560651,0.04402241900000001,0.738472699,0.09893608300000001,0.7794928459999999,0.733706813,0.153319525,0.398572353,0.441796719,0.6949536829999999,0.592014693
700,0.704771105,0.079834062,0.663329684,0.50293291,0.037396935,0.72235455,0.09786229800000001,0.788620731,0.769253979,0.158834168,0.40511251,0.45290092299999996,0.696935218,0.6149782579999999
720,0.6871349290000001,0.074998522,0.6542967,0.496711719,0.037436412,0.750755253,0.09985721,0.8354867,0.736010067,0.173739325,0.415973601,0.46308244600000004,0.703677717,0.606402046
740,0.695012649,0.082356204,0.674079735,0.503641814,0.039844895,0.744964871,0.105501828,0.827465977,0.732370924,0.196398942,0.42669845,0.47202835,0.71783865,0.614019571
760,0.703916476,0.07184211,0.661447283,0.47667276399999997,0.039822375,0.744002505,0.101791254,0.83070111,0.791233996,0.182411419,0.42080456899999996,0.477666285,0.7335082709999999,0.629723237
780,0.7063625920000001,0.082741648,0.636116857,0.48648702200000005,0.04077262,0.74601701,0.103467909,0.862748565,0.792839284,0.153405438,0.409710466,0.48435889600000004,0.7393597890000001,0.599947545
